house,district,WSC_25,PRE_24,WSA_24,WSS_24,GOV_22,USS_22,PRE_20,GOV_18,USS_18,PRE_16,USS_16,GOV_14,PRE_12,GOV_12,USS_12
wsa,1,47.68034803694328,42.52914798206278,38.04688704950902,NA,44.624638761253166,41.876924562481,42.59071774924069,43.74572795625427,50.69189676256678,42.14800591771853,40.51889418022141,41.69280101483491,50.0329144225015,39.36741526014786,50.603004225656214
wsa,2,43.81838841876428,38.060220344421865,36.741928446771375,NA,39.630085167372044,37.39474823476474,38.258838539859326,38.3662552234882,45.489154773512404,37.920689146206996,36.16450887540488,35.19315564947698,45.1801412662173,33.82686098479893,45.55943593709588
wsa,3,42.657230818439885,38.403269754768395,35.48351435757123,NA,38.53738118882111,36.485391040778204,38.45281372691581,37.37293304975959,44.51405119349051,37.33412361798871,34.93726696691029,33.326609990504124,43.57714784487198,32.52471512005781,43.48183508212414
wsa,4,40.14302280633939,35.29892665945832,33.80724575360138,34.346106568328786,37.3285539402025,34.90358302295146,35.95093399053407,37.37647576190919,43.155465779245176,34.44154732298535,33.78287781440505,35.80118584028564,43.44994272594711,35.60578134181611,44.78784400434911
wsa,5,44.894948201807686,39.2675852066715,37.21228350045579,38.651329734618315,40.72624233716032,38.421294585725924,39.673158822686936,39.374059347274375,45.63176211377958,38.4453592672813,36.92609407837493,35.6820470124149,46.746761461421926,34.323920373040075,46.77643327063459
wsa,6,38.338259745058195,33.690741521595086,32.55978361099158,33.43454790823212,35.3746596693367,32.960719171389485,33.98614231024773,36.672760511883,42.818602778337024,33.783630806384664,33.253959254639604,35.931790499390985,46.242505820417776,34.23696888897307,46.65499507117623
wsa,7,65.83830351225977,57.43673123144352,58.65289528623229,NA,60.99688264383665,58.75855882603687,58.66288667192995,56.96558284330682,61.97801261291972,56.26020794327371,54.096577444543726,50.351515151515144,55.918733533205135,50.34764286815633,55.56622908678338
wsa,8,84.30486738560187,73.65563406470808,100,NA,82.1419550391513,80.56243805748265,79.10671462829735,83.26689445709947,85.51666511930182,84.09625333124315,80.39295282942275,79.38537185003072,85.89570833159604,79.59285157200543,82.06209187129845
wsa,9,77.30883338118481,67.25596938500512,70.40095006503422,NA,73.94861724758633,71.8744971842317,71.24879511620435,73.30662045334418,76.472531409705,73.2398946850488,70.6143327976457,66.71471034163807,72.90454433995885,66.79119151085993,70.76585669071812
wsa,10,87.58327165062917,85.36801946984149,100,100,86.51085832471561,85.73531817438247,85.83511780751559,83.05223737107755,85.19493626457894,85.98063325249922,81.51671785644241,81.15614976185633,83.45829147059501,80.69333867985426,81.82660141240582
wsa,11,89.6430524095915,88.20052814687513,100,100,89.69708419925688,89.31979070483226,88.66923569182187,88.76458653454114,90.45738151415513,90.33407310959507,87.72173355702579,88.24201806956604,90.64911704987738,88.00858113582984,88.95444619820536
wsa,12,81.25761068066612,80.28230616302187,100,100,80.10253489034463,79.15336804972283,79.23050890041148,77.59427401839248,80.32064788899956,78.54216463096803,75.08232070560658,73.33829121120088,77.37541460256017,73.04331311096375,76.01166900440828
