house,district,WSCTOT25,WSCLIB25,WSCCON25,PRETOT24,PREDEM24,PREREP24,WSATOT24,WSADEM24,WSAREP24,WSSTOT24,WSSDEM24,WSSREP24,GOVDEM22,GOVREP22,GOVTOT22,USSDEM22,USSREP22,USSTOT22,PREDEM20,PREREP20,PRETOT20,GOVDEM18,GOVREP18,GOVTOT18,USSDEM18,USSREP18,USSTOT18,PREDEM16,PREREP16,PRETOT16,USSDEM16,USSREP16,USSTOT16,GOVDEM14,GOVREP14,GOVTOT14,PREDEM12,PREREP12,PRETOT12,GOVDEM12,GOVREP12,GOVTOT12,USSDEM12,USSREP12,USSTOT12
wsa,19,27786,24378.000000000004,3393.0000000000005,36680,28859,6932,30848,30112,NA,NA,NA,NA,24084,4451,28760,24013,4823,28884,27458,6354,34592,23545,6685,31064,24843,6146,31058,23566,6550,32970,22662,8874,32493,16355,7302,24062,24309,9846,34912,16852,7775,24798,22440,10398,33831
wsa,2,25476.43763808603,11159.51680908647,14308.14006235531,37971,14233,23163,36693,13474,23198,NA,NA,NA,11452.905054736677,17446.616625236904,29233.10072849321,10883.759893169496,18221.289363590044,29133.456597639917,13271.08493150685,21416.546575342465,35267.3095890411,10183.737956144369,16359.738588081354,27031.29656478726,12213.660531827458,14635.949210623232,26866.609742450688,10871.612532975458,17797.73071408124,30593.35099140832,10573.478254137472,18663.68985055201,30319.478356014224,8625.325864118106,15883.206277830614,24745.598554328888,13598.409507342569,16499.790998972698,30459.358646346045,8697.678641320797,17014.6647098088,25851.273635263016,13218.647527991196,15795.424433396218,30004.35037144455
wsa,20,24092,16352,7723,34013,19921,13517,32811,20018,12740,NA,NA,NA,16831.17410632247,9743.580794866186,26880.347926784805,16445.284567928244,10339.04473127689,26853.15025158609,19787,13543,33967,16574,11546,28844,18174,10410,28658,16852,12446,31531,16864,13308,31204,13646,11830,25882,19409,13590,33509,14750,13110,28044,18642,13257,32798
wsa,21,22575,13456,9096.999999999998,34227,17363,15978,33009,15993,16923,NA,NA,NA,13985.825893677533,11566.419205133816,25814.6520732152,13556.715432071758,12162.95526872311,25782.849748413915,17082,15541,33243,13271,13195,26967,14830,11917,26804,13838,13770,29501,13416,14984,29103,10610,13046,23930,15502.52904040404,15266.636363636364,31118.222643097644,11622.63468013468,13887.393097643098,25636.092171717173,14893.478956228955,14828.371632996634,30458.015151515152
wsa,22,31598.279292676736,15356.100365511065,16224.797307229925,41726,18454,22596,40628,17014,23566,40912,18156,22698,15416.2213504993,18886.914618412684,34597.435217167375,14639.972942700564,19816.697068048183,34544.71162679743,17382,21818,39883,12026,20678,33199,14039,18998,33075,12973,19372,34917,11690,22587,35008,8899,20826,29972,12330.122294036277,22937.372921320493,35659.50238692063,9155.076245047308,21884.322720373504,31161.40085267446,11761.121916585544,22506.361975249343,35146.496347708955
wsa,23,29845.20724121637,20500.383411857227,9329.632833481803,39340,24879,13726,38046,23804,14199,38433,24517,13863,21459.643265864714,11708.895743873776,33363.168029220426,20764.612807674763,12501.477801427056,33343.04899305315,25131.19362186788,14218.550113895217,39950.35307517084,18416.255250403876,15360.297715208862,34185.26794368798,20314.74705746596,13716.691899376874,34072.43895684283,20112.843779232928,13639.606641721237,36252.48058933583,18115.33769878391,17652.201122544433,36222.247661365764,14102.696745903531,16884.789522270945,31190.20124624971,18052.10176043096,18953.22741809776,37334.22446076872,14341.864909177835,18126.989853507028,32576.885525922775,17127.7224882914,19119.681802140236,36769.20949813742
wsa,24,29256.48615232628,13809.153774099746,15430.410992996322,40800,18051,22074,39806,15887,23858,39972,17798,22125,14258.024237037458,18461.688839246595,32994.787683027724,13461.118816855593,19439.553971150755,32941.67278800635,16306.16713483146,22132.44943820225,39118.870786516854,10918.315864720467,21039.071012403205,32396.585262743003,13129.667567496566,19049.157710649943,32216.664955270386,12149.405415891384,20131.607816572785,34566.75757576403,10906.252994129112,23076.50945654916,34681.987150638066,8173.918155660422,21098.428783077292,29532.025355164067,11891.99192020125,22883.487880301873,35120.12243567349,8750.779987395392,22071.273461404093,30909.98197583355,11457.778122826448,22426.345555893,34690.908638298686
wsa,25,23076.856743535987,10807.5034940601,12255.490566037735,32596,13541,18556,31736,12123,19587,NA,NA,NA,10783.523197060174,14032.680293982545,25205.599908130454,10265.60404225999,14796.24850711989,25125.18236104731,13102,17993,31710,10349,14194,25061,12465,12466,24959,11179,15530,28980,10955,15990,28255,9658,14026,24004,15310.89182093387,14686.800683414958,30434.68862231975,9640.93384190768,15366.809534662623,25223.743418837326,14615.893907703176,14048.81052988258,29807.695636482884
wsa,26,20089.14325646401,11420.496505939902,8647.509433962263,29734,15014,14224,28993,14887,14042,NA,NA,NA,11774.476802939826,10524.319706017455,22610.400091869546,11379.39595774001,11122.75149288011,22566.81763895269,14776,13742,29133,11309,11337,23133,12793,10138,22970,12662,11808,26478,12372,12903,26284,9612,11537,21418,15657.722291704982,12566.03865505186,28544.726536731618,10021.110121914244,12776.013850924175,22941.108416296905,14547.789346930316,12546.059170971612,28013.76748996505
wsa,27,26925,10343,16568,38738,13283,24896,37657,12139,25477,NA,NA,NA,10999,20242,31573,10377,21059,31482,12952,23953,37538,10067.052367238066,20250.136736677177,30751.189685773443,12115.068659267688,18413.121608363956,30562.19026763164,10898.12223170653,20593.271237977347,33750.41442369071,10495.112918814604,22159.29219198418,33630.41908013667,8826.04596679786,20110.134409244372,29225.18037604223,13005.739333128888,21103.446974337952,34462.237660500636,8998.279284606655,21321.26729857301,30471.56922697233,12403.69208541471,20555.38534840555,34060.203365880334
wsa,28,24056,9746,14299,37399,12595,23969,36256,12245,23979,36592,11641,24917,9659.381974248929,16226.635193133048,26278.03433476395,9199.330472103004,17050.703862660943,26272.03433476395,12045,21527,34397,9138,13494,23422,10477,12802,23296,9455,17046,28702,10156,16891,28141,7578,11495,19337,12146.003964057823,15509.004016446252,28188.008102743745,7890.002933752046,12587.003300471051,20584.00632153715,12257.004033909065,14653.003789429726,27761.007980504077
wsa,29,22560,9659,12846,34124,11981,21475,33314,11675,21619,32927,11634,21272,9895,14948,25249,9235,15937,25201,12126,19768,32563,10089.99948802845,13741.999392777929,24423.998868900064,12145.999404684244,12125.99944040319,24280.998845087433,10544.006747807478,16665.00807337125,28923.015945953284,11307.00767137289,16096.00756430697,28487.01599344482,9453.999499934764,12418.999535653713,22147.999035588477,14347.480153537155,13914.290678865284,28631.75808116398,8926.609106201253,13486.381460586206,22561.993007274905,13895.468953398122,13390.333072218798,28017.78118211195
wsa,3,25028,10669,14342.000000000002,37256,14094,22606,36211,12839,23344,NA,NA,NA,10866,17330,28496,10352,18021,28414,13222,21163,34938,9920.946676144802,16624.8603198855,26989.80631605753,11947.930016185515,14892.875742542454,26842.80575872797,10656.875641553384,17887.722728015895,30362.57716826709,10230.884855527169,19052.701823468135,30350.57231398484,8190.953150170944,16386.863652992724,24842.816754106378,12997.285329212116,16828.634842251322,30267.92387549222,8440.656246974215,17510.85851900419,26089.513814882102,12492.22697431004,16237.533282394788,29787.881283133676
wsa,30,26308,14074,12220,38265,17872,19564,37464,17117,20309,37380,16883,20463,14083,14181,28568,13722,14810,28566,17324,17713,35928,12968,13584,27361,14185,13055,27255,13444,15564,31676,13109,17036,31130,9748,12905,22990,14220.605076289148,15920.784784707974,30690.405836740192,9526.445126767532,12999.694278780986,22593.13931823447,14173.613055429278,15340.74208377053,30191.38181200575
wsa,31,23358.74068031468,10111.100896209547,13235.795508895048,33855,12872,20513,32802,11965,20769,NA,NA,NA,10126.770382285036,14929.385836926807,25446.67533688129,9675.936727431805,15685.33708262093,25415.294482606703,12738,19132,32435,9388.34335526808,15297.541078879636,25237.92325923602,11171.402984813583,13886.495585744076,25091.90699898075,9970.954521459633,15828.5392568661,27837.736282200007,9821.919463772254,16899.642048972026,27634.652231248892,7518.234228263821,14257.478320206315,22053.734866615825,11932.353785723266,16108.40410530802,28409.823640568586,7865.842929322238,15163.35975934249,23150.240453581795,11293.237935051036,15493.275727925951,27872.738590691337
