house,district,office,year,TOT,DEM,REP,dem_pct,margin
wsa,12,WSC,2025,14988.845519310087,12169.014248218975,2806.8312710911136,81.25761068066612,62.461001182956934
wsa,12,PRE,2024,25554,20191,4959,80.28230616302187,59.60710651952728
wsa,12,WSA,2024,22856,18391,0,100,80.46464823241162
wsa,12,GOV,2022,17723,14062,3493,80.10253489034463,59.634373413079054
wsa,12,USS,2022,17890,14136,3723,79.15336804972283,58.205701509223026
wsa,12,PRE,2020,26026.15614045421,20294.455576616903,5319.989992735619,79.23050890041148,57.536216654773156
wsa,12,GOV,2018,22130.108823603103,16889.304813804105,4876.86933688228,77.59427401839248,54.28095981213538
wsa,12,USS,2018,22134.195361051618,17744.370896984,4347.54614221385,80.32064788899956,60.5254653997671
wsa,12,PRE,2016,25989.885645835573,19580.224644533377,5349.346289157416,78.54216463096803,54.75544813586439
wsa,12,USS,2016,25596.827517105936,18824.25900541742,6247.234294884587,75.08232070560658,49.135091847330756
wsa,12,GOV,2014,22325.9057437756,16221.569534469842,5897.25716106181,73.33829121120088,46.24364400663306
wsa,12,PRE,2012,30228.082224824127,23242.006831881896,6795.967053317648,77.37541460256017,54.40649412108027
wsa,12,GOV,2012,24513.183147720796,17807.070156120644,6571.71196328984,73.04331311096375,45.8339421899006
wsa,12,USS,2012,29278.980333934964,21871.531099680833,6902.381361591919,76.01166900440828,51.125925723374145
wsa,13,WSC,2025,31533,19918,11593,63.20967281266859,26.400913328893544
wsa,13,PRE,2024,40236,23836,15596,60.4483668086833,20.47917288000795
wsa,13,WSA,2024,39384,22540,16796,57.30119991864958,14.584602884420066
wsa,13,GOV,2022,33976.593173245674,19997.394008557356,13735.241443165442,59.28203871641475,18.430784197407245
wsa,13,USS,2022,33947.338127988834,19260.83080156744,14595.515880211842,56.88986760031373,13.742800403867744
wsa,13,PRE,2020,39678.68984518083,22545.24121260227,16392.871486783653,57.90018994155774,15.505475986793076
wsa,13,GOV,2018,34366.06094160828,16278.583018247302,17611.718803671265,48.03316035302796,-3.879221967536833
wsa,13,USS,2018,34293.69644980444,17996.742636054616,16235.972681813484,52.571764959179376,5.1343836813227846
wsa,13,PRE,2016,35928.716347798116,17355.43379706714,15890.003198896313,52.203957490991556,4.078716823571227
wsa,13,USS,2016,36037.37569801406,15649.932960598157,19778.83245053998,44.1729560118347,-11.457270153468357
wsa,13,GOV,2014,31526.15092578849,12011.456908791806,19266.162779785333,38.40272063023548,-23.011708242058678
wsa,13,PRE,2012,37582.70623930032,15816.18631553402,21408.627590507574,42.488288471919134,-14.880358107702014
wsa,13,GOV,2012,33531.33017523158,12481.810976745524,20895.487611210418,37.39610904655278,-25.09198588453189
wsa,13,USS,2012,37095.25813139267,15139.034816651709,21346.658400534063,41.49307161723545,-16.734277901220523
wsa,14,WSC,2025,20198,12556,7627.000000000001,62.210771441312,24.40340627784928
wsa,14,PRE,2024,31073,16765,13621,55.173435134601455,10.118108969201556
wsa,14,WSA,2024,29693,15637,12896,54.80321031787755,9.23113191661334
wsa,14,GOV,2022,23250.589510953225,13184.212320461163,9749.197386483973,57.48910645619551,14.773883184161734
wsa,14,USS,2022,23200.23978340431,12863.48392133317,10272.231566653552,55.60011285586809,11.169075746075713
wsa,14,PRE,2020,30103,16215,13258,55.016455739151084,9.822941235092847
wsa,14,GOV,2018,26100,13182,12230,51.873130804344406,3.6475095785440614
wsa,14,USS,2018,25898,14686,11135,56.87618605011425,13.71148351224033
wsa,14,PRE,2016,29577,13821,13354,50.85924563017479,1.5789295736552023
wsa,14,USS,2016,29239,13599,14704,48.04791011553546,-3.7791990150141954
wsa,14,GOV,2014,25757,11435,13956,45.035642550510026,-9.787630547035754
wsa,14,PRE,2012,32167.43468377926,16257.149667758362,15449.216664104892,51.27408640144541,2.5116488510688653
wsa,14,GOV,2012,26533.737494236007,11920.619940409322,14413.100465847683,45.267511603020324,-9.393627738948613
wsa,14,USS,2012,31466.32532071365,15471.954864797748,15171.257675254496,50.4906424043338,0.9556158416289873
wsa,15,WSC,2025,28683,13131,15538,45.80208587673096,-8.391730293205036
wsa,15,PRE,2024,39364,16818,21712,43.649104593823,-12.432679605731128
wsa,15,WSA,2024,38215,15598,22573,40.86348274868355,-18.251995289807667
wsa,15,GOV,2022,32052.60313520685,13743.62583424163,18054.97683452862,43.22084834167695,-13.450860705760798
wsa,15,USS,2022,31997.91745359885,12930.943617439225,19001.494937876458,40.494695057627084,-18.971707547031215
wsa,15,PRE,2020,38559,16288,21701,42.87556924372844,-14.03822713244638
wsa,15,GOV,2018,32080.446705651226,11016.1938380599,20665.29886719125,34.771700754598555,-30.07783874602838
wsa,15,USS,2018,31929.48289834749,12761.933326423388,19127.558547528904,40.01924325689079,-19.936512098775545
wsa,15,PRE,2016,34195.410327546626,12177.602373769429,19760.45446297729,38.12881427325391,-22.175058046019064
wsa,15,USS,2016,34242.42800163029,10883.222208935857,22773.415740468776,32.33603494590396,-34.72357021811312
wsa,15,GOV,2014,29296.06188993695,7806.828289407301,21296.249190322505,26.824751763261904,-46.04516795326935
wsa,15,PRE,2012,35321.06505088326,11410.395269698409,23642.895321865355,32.55156670639228,-34.63230804208452
wsa,15,GOV,2012,30677.308172701163,8131.254357015502,22435.211727087237,26.601879113675075,-46.6271593633512
wsa,15,USS,2012,34916.70696953163,10883.042801433372,23334.42827749078,31.805514721795596,-35.66025137170726
wsa,16,WSC,2025,13136,12157.999999999998,959.9999999999998,92.6818112517152,85.24665042630937
wsa,16,PRE,2024,23842,20219,3164,86.46880212119916,71.53342840365741
wsa,16,WSA,2024,20350,20079,0,100,98.66830466830467
wsa,16,GOV,2022,15627,14240,1233,92.0312802947069,83.23414602930825
wsa,16,USS,2022,15833,14493,1314,91.68722717783261,83.23754184298616
wsa,16,PRE,2020,22842,20326,2133,90.50269379758672,79.64714123106559
wsa,16,GOV,2018,20197,17920,1837,90.70202966037354,79.63063821359607
wsa,16,USS,2018,20277,18513,1713,91.53070305547315,82.8524929723332
wsa,16,PRE,2016,24214,20997,2112,90.86070362196547,77.99207070289916
wsa,16,USS,2016,23498,19778,3229,85.96514104403008,70.42727040599199
wsa,16,GOV,2014,20611,18377,2030,90.05243298868035,79.3120178545437
wsa,16,PRE,2012,31145,27752,3076,90.02205786946932,79.2294108203564
wsa,16,GOV,2012,21908,20104,1650,92.4151880114002,84.23406974621143
wsa,16,USS,2012,29692,25732,3397,88.33808232345773,75.22228209618753
wsa,17,WSC,2025,18551,16070.000000000004,2466,86.6961588260682,73.33297396366774
wsa,17,PRE,2024,29665,24599,4556,84.3731778425656,67.56446991404012
wsa,17,WSA,2024,24854,24469,0,100,98.45095356884204
wsa,17,GOV,2022,21830,18493,3108,85.61177723253553,70.47640861200183
wsa,17,USS,2022,22013,18708,3270,85.12148512148512,70.1312860582383
wsa,17,PRE,2020,30321,25315,4578,84.68537784765664,68.391543814518
wsa,17,GOV,2018,26192,21376,4395,82.94594699468395,64.83277336591325
wsa,17,USS,2018,26302,22317,3957,84.93948390043388,69.8045775986617
wsa,17,PRE,2016,29931,24324,4415,84.63760047322454,66.51632087133741
wsa,17,USS,2016,29484,23479,5531,80.93416063426405,60.87369420702754
wsa,17,GOV,2014,26965,21535,5185,80.59505988023952,60.63415538661228
wsa,17,PRE,2012,35082.360123563754,28882.351062263107,5980.221924492372,82.84629787146149,65.28103883862725
wsa,17,GOV,2012,29284.651527630907,23280.9616637603,5849.764043249341,79.9189209974205,59.523322666360315
wsa,17,USS,2012,34032.82821380498,27306.748531825702,6177.493057083087,81.55104382256847,62.08492383295903
wsa,18,WSC,2025,17254,14761,2476,85.635551430063245,71.20088095514085
wsa,18,PRE,2024,26936,22107,4255,83.85934299370305,66.27561627561627
wsa,18,WSA,2024,25308,20801,4431,82.43896639188333,64.68310415678837
wsa,18,GOV,2022,20152,16953,3010,84.92210589590744,69.18916236601827
wsa,18,USS,2022,20293,17054,3196,84.21728395061729,68.28955797565663
wsa,18,PRE,2020,27567,22809,4282,84.19401277176922,67.20716799071353
wsa,18,GOV,2018,24412.432658960464,19771.81677755221,4187.6570369716555,82.52191567565576,63.83697994497268
wsa,18,USS,2018,24434.432658960464,20538.741325685973,3854.698192535057,84.19780781773012,68.28086973008818
wsa,18,PRE,2016,27494.223450502283,22193.963863701672,3909.403556033824,85.02337459695674,66.50327964557884
wsa,18,USS,2016,27075.250873213372,21241.984430734992,5294.321287900558,80.04876283821777,58.90125715736985
wsa,18,GOV,2014,24591.861362745894,19564.142592429136,4796.732488837891,80.30968726354797,60.04998924547588
wsa,18,PRE,2012,33147.13923665167,27432.48541009197,5417.791147103227,83.50762393835443,66.41506558323596
wsa,18,GOV,2012,26969.82977908164,21608.142421326047,5232.716444156451,80.50466093361209,60.71757260355687
wsa,18,USS,2012,32319.366989054608,26032.93926711972,5787.684950641897,81.8115291798351,62.64124641839103
wsa,19,WSC,2025,27786,24378.000000000004,3393.0000000000005,87.78221886140219,75.52364500107969
wsa,19,PRE,2024,36680,28859,6932,80.63200245871867,59.77917121046893
wsa,19,WSA,2024,30848,30112,0,100,97.61410788381743
wsa,19,GOV,2022,28760,24084,4451,84.4016120553706,68.26495132127955
wsa,19,USS,2022,28884,24013,4823,83.27437924816202,66.43816645893921
wsa,19,PRE,2020,34592,27458,6354,81.2078551993375,61.008325624421836
wsa,19,GOV,2018,31064,23545,6685,77.88620575587166,54.2750450682462
wsa,19,USS,2018,31058,24843,6146,80.167156087644,60.200270461716784
wsa,19,PRE,2016,32970,23566,6550,78.2507637136406,51.61055505004549
wsa,19,USS,2016,32493,22662,8874,71.8607305936073,42.43375496260733
wsa,19,GOV,2014,24062,16355,7302,69.13387158135012,37.62363893275704
wsa,19,PRE,2012,34912,24309,9846,71.17259552042161,41.427016498625115
wsa,19,GOV,2012,24798,16852,7775,68.42896008446014,36.6037583676103
wsa,19,USS,2012,33831,22440,10398,68.33546501004933,35.59457302474062
wsa,2,WSC,2025,25476.43763808603,11159.51680908647,14308.14006235531,43.81838841876428,-12.358962026000853
wsa,2,PRE,2024,37971,14233,23163,38.060220344421865,-23.517947907613703
wsa,2,WSA,2024,36693,13474,23198,36.741928446771375,-26.50096748698662
wsa,2,GOV,2022,29233.10072849321,11452.905054736677,17446.616625236904,39.630085167372044,-20.503167372382837
wsa,2,USS,2022,29133.456597639917,10883.759893169496,18221.289363590044,37.39474823476474,-25.185921367857727
wsa,2,PRE,2020,35267.3095890411,13271.08493150685,21416.546575342465,38.258838539859326,-23.096351093270584
wsa,2,GOV,2018,27031.29656478726,10183.737956144369,16359.738588081354,38.3662552234882,-22.847593037702268
wsa,2,USS,2018,26866.609742450688,12213.660531827458,14635.949210623232,45.489154773512404,-9.015981927069971
wsa,2,PRE,2016,30593.35099140832,10871.612532975458,17797.73071408124,37.920689146206996,-22.639292384318665
wsa,2,USS,2016,30319.478356014224,10573.478254137472,18663.68985055201,36.16450887540488,-26.68321499934299
wsa,2,GOV,2014,24745.598554328888,8625.325864118106,15883.206277830614,35.19315564947698,-29.329985281131314
wsa,2,PRE,2012,30459.358646346045,13598.409507342569,16499.790998972698,45.1801412662173,-9.525418855062412
wsa,2,GOV,2012,25851.273635263016,8697.678641320797,17014.6647098088,33.82686098479893,-32.17244220084781
wsa,2,USS,2012,30004.35037144455,13218.647527991196,15795.424433396218,45.55943593709588,-8.588010983425153
wsa,20,WSC,2025,24092,16352,7723,67.92107995846314,35.81686867009795
wsa,20,PRE,2024,34013,19921,13517,59.575931574854955,18.82809514009349
wsa,20,WSA,2024,32811,20018,12740,61.108736797118254,22.18158544390601
