house,district,WSC_25,PRE_24,WSA_24,WSS_24,GOV_22,USS_22,PRE_20,GOV_18,USS_18,PRE_16,USS_16,GOV_14,PRE_12,GOV_12,USS_12
wsa,1,-4.63731955088218,-14.751195324951304,-23.889645251611906,NA,-10.630753100492306,-16.219849706809352,-14.59382871536523,-12.312966582294704,1.3826811151483986,-14.87610698631362,-18.328003108467584,-16.45724258289703,0.0650752802674015,-21.15157821713493,1.171640896559989
wsa,2,-12.358962026000853,-23.517947907613703,-26.50096748698662,NA,-20.503167372382837,-25.185921367857727,-23.096351093270584,-22.847593037702268,-9.015981927069971,-22.639292384318665,-26.68321499934299,-29.329985281131314,-9.525418855062412,-32.17244220084781,-8.588010983425153
wsa,3,-14.675563369026696,-22.847326605110585,-29.010521664687523,NA,-22.68388545760809,-26.990216090659537,-22.728833934398075,-24.838687485327455,-10.971080120413212,-23.81499780598237,-29.06639412488467,-32.99106773577534,-12.658117975978628,-34.765700642746765,-12.573255118367188
wsa,4,-19.702530423024918,-29.029318335676717,-32.36289412902186,-31.28855654960609,-25.02900919589462,-30.128431723982292,-27.695577761828517,-24.834185707105565,-13.675256425655569,-29.48366842145589,-31.344284087761835,-28.11374292323956,-12.962010921540546,-28.64254208961643,-10.113756286322111
wsa,5,-10.208329335930127,-21.16320637976076,-25.57106237539163,-22.69477491734253,-18.35604714189452,-23.149606641289406,-20.29960568914501,-20.847985942636242,-8.733661238615737,-21.6723060165445,-25.24547616805955,-28.318504626111174,-6.425994542205732,-31.140296606557,-6.225352554506775
wsa,6,-23.312713507524702,-32.209136331192006,-34.846158570288026,-33.10754896251571,-28.87806778340475,-34.050613137545895,-31.593895321619176,-26.164460041473912,-14.357013483598308,-30.784383954154727,-32.17852344118822,-27.826535880227155,-7.418890117760391,-31.35312200793356,-6.463919543221664
wsa,7,31.657376234891547,14.524368355653733,17.259013040143188,NA,21.717403324927208,17.474642745558445,17.031784668571635,13.5983793365409,23.895949334806815,11.669265612237318,7.942605355327087,0.6945442352828457,11.685739926925143,0.6909734582193905,10.837490494196267
wsa,8,68.52983988355167,46.305598019946125,97.96700847079804,NA,63.54556803995006,60.958734865332346,57.16808949072711,64.70968337487307,70.96086069374884,65.1392632524708,58.744605727736364,57.79040251420283,71.18947897365628,58.54599764196482,62.368936313220004
wsa,9,54.56022944550669,33.719521828426984,40.677679427186106,NA,47.35479695842098,43.59467692801026,41.845504877405745,45.58375581989675,52.79490422589988,43.88488225945849,39.7721219112474,32.96950039283982,45.316942724923834,33.32470745069026,40.33147551158797
wsa,10,75.09358968433702,69.2443900711503,98.65197050194274,98.57667762521756,72.47608490372377,71.34225996080993,70.63657005268381,65.24443021375741,70.30587672188852,68.75325671640113,62.01359365867861,61.77453604073331,66.339752528069,61.07646057224616,62.81475966600985
wsa,11,79.19332189109065,75.21251134769332,98.7697374794149,98.7413587604291,78.54339293501963,78.5042708781417,76.45315706902082,76.23627419771638,80.80456755538056,78.5297118832502,74.03190432641352,75.8608623246982,80.92327205545703,75.65688405136116,76.85833464396657
